time,dataid,cleaning_system,cooling_system,lightning_system,milk_pump,RO,vacuum_pump,osmose,coldroom,water_pump,non-shiftable,total
2022-05-30 23:40:00,1.0,7.5395,38.5104,17.9072,4.6104,0.0,1.2299,0.0,0.0,0.0,0.0,69.7974
2022-05-30 23:50:00,1.0,7.5699,24.3476,34.4597,4.6173,0.0,1.2352,0.0,0.0,0.0,0.0,72.22970000000001
2022-05-31 00:00:00,1.0,7.5543,32.7812,51.3449,4.6162,0.0,1.2504,0.0,0.0,0.0,0.0,97.547
2022-05-31 00:10:00,1.0,7.5229,30.2813,25.3706,4.6311,0.0,1.2517,0.0,0.0,0.0,0.0,69.05760000000001
2022-05-31 00:20:00,1.0,7.5621,24.4717,50.1405,4.6324,0.0,1.2522,0.0,0.0,0.0,0.0,88.05890000000001
2022-05-31 00:30:00,1.0,7.5268,38.7498,56.9096,4.6206,0.0,1.2636,0.0,0.0,0.0,0.0,109.07039999999999
2022-05-31 00:40:00,1.0,7.5592,34.1411,59.8954,4.6148,0.0,1.2581,0.0,0.0,0.0,0.0,107.4686
2022-05-31 00:50:00,1.0,7.5109,38.6557,18.0094,4.6158,0.0,1.2489,0.0,0.0,0.0,0.0,70.0407
2022-05-31 01:00:00,1.0,7.599,24.3296,93.8745,4.6322,0.0,1.2354,0.0,0.0,0.0,0.0,131.6707
2022-05-31 01:10:00,1.0,7.531,38.6681,50.5314,4.6277,0.0,1.2262,0.0,0.0,0.0,0.0,102.58440000000002
2022-05-31 01:20:00,1.0,7.5225,24.4875,39.8243,4.6853,0.0,1.2307,0.0,0.0,0.0,0.0,77.7503
2022-05-31 01:30:00,1.0,7.3723,38.9914,40.2106,4.744,0.0,1.2293,0.0,0.0,0.0,0.0,92.54759999999999
2022-05-31 01:40:00,1.0,7.4005,24.8022,23.8257,4.8529,0.0,1.213,0.0,0.0,0.0,0.0,62.094300000000004
2022-05-31 01:50:00,1.0,7.4093,30.207,42.3687,4.8358,0.0,1.2341,0.0,0.0,0.0,0.0,86.0549
2022-05-31 02:00:00,1.0,7.5289,33.2931,31.7609,4.6134,0.0,1.2389,0.0,0.0,0.0,0.0,78.4352
2022-05-31 02:10:00,1.0,7.5342,24.4372,39.5105,4.6171,0.0,1.2345,0.0,0.0,0.0,0.0,77.33349999999999
2022-05-31 02:20:00,1.0,7.5129,38.6579,18.0822,4.6004,0.0,1.2185,0.0,0.0,0.0,0.0,70.0719
2022-05-31 02:30:00,1.0,7.576,24.3678,48.9687,4.6107,0.0,1.2248,0.0,0.0,0.0,0.0,86.74799999999999
2022-05-31 02:40:00,1.0,7.5415,38.5032,18.0769,4.6007,0.0,1.2142,0.0,0.0,0.0,0.0,69.93650000000001
2022-05-31 02:50:00,1.0,7.5546,24.447,28.8982,4.6058,0.0,1.1982,0.0,0.0,0.0,0.0,66.7038
2022-05-31 03:00:00,1.0,7.5369,38.7347,40.837,4.6142,0.0,1.2015,0.0,0.0,0.0,0.0,92.92429999999999
2022-05-31 03:10:00,1.0,7.5823,24.4341,27.4133,4.6106,0.0,1.2107,0.0,0.0,0.0,0.0,65.251
2022-05-31 03:20:00,1.0,7.5473,38.6799,47.3711,4.6223,0.0,1.2266,0.0,0.0,0.0,0.0,99.4472
2022-05-31 03:30:00,1.0,7.5975,24.4514,27.4549,4.6187,0.0,1.2261,0.0,0.0,0.0,0.0,65.3486
2022-05-31 03:40:00,1.0,8.6678,24.7275,80.5407,5.4441,0.0,1.2163,0.0,0.0,0.0,0.0,120.59640000000002
2022-05-31 03:50:00,1.0,9.2481,33.437,84.8393,57.2549,0.0,2024.0299,0.0,0.0,0.0,0.0,2208.8092
2022-05-31 04:00:00,1.0,9.1278,21.6422,85.4918,10.8037,0.0,3005.2238,0.0,0.0,0.0,0.0,3132.2893000000004
2022-05-31 04:10:00,1.0,7.3205,1731.6795,83.1929,65.8483,0.0,3007.1061,0.0,0.0,0.0,0.0,4895.1473000000005
2022-05-31 04:20:00,1.0,6.4606,2393.7531,82.5823,3.3374,0.0,3000.0257,0.0,0.0,0.0,0.0,5486.1591
2022-05-31 04:30:00,1.0,6.2324,2485.9207,82.2723,70.9039,0.0,2998.4836,0.0,0.0,0.0,0.0,5643.8129
2022-05-31 04:40:00,1.0,6.1283,2318.1856,93.9314,3.6381,0.0,2993.622,0.0,0.0,0.0,0.0,5415.5054
2022-05-31 04:50:00,1.0,9.3465,23.696,85.2106,72.394,0.0,2993.0519,0.0,0.0,0.0,0.0,3183.699
2022-05-31 05:00:00,1.0,9.1844,19.664,90.4429,30.8326,0.0,2993.2228,0.0,0.0,0.0,0.0,3143.3467
2022-05-31 05:10:00,1.0,6.9066,2050.3244,88.276,39.1755,0.0,3001.5978,0.0,0.0,0.0,0.0,5186.280299999999
2022-05-31 05:20:00,1.0,6.5563,2368.8798,82.0414,34.8143,0.0,2995.8563,0.0,0.0,0.0,0.0,5488.1481
2022-05-31 05:30:00,1.0,6.5687,2371.2975,82.074,45.0599,0.0,2995.4844,0.0,0.0,0.0,0.0,5500.4845000000005
2022-05-31 05:40:00,1.0,6.5077,2360.7434,108.9818,37.5753,0.0,2994.1585,0.0,0.0,0.0,0.0,5507.9667
2022-05-31 05:50:00,1.0,6.7762,1188.2297,23.8485,3.8731,0.0,2993.8092,0.0,0.0,0.0,0.0,4216.536700000001
2022-05-31 06:00:00,1.0,7.7174,22.2855,13.1216,4.6139,0.0,832.6422,0.0,0.0,0.0,0.0,880.3806
