Biomass type;M;VM;FC;A;C;O;H;N;S;T (°C);AFR (kg/kg);Wnet (kW)
Almond shells;7.2;74.9;21.8;3.3;48.6401;41.0975;5.9954;0.967;0;1500;2.3;235.26
Olive husks;6.8;79;18.7;2.3;48.85;41.1317;6.0574;1.5632;0.0977;600;1.8;80.78
Olive husks;6.8;79;18.7;2.3;48.85;41.1317;6.0574;1.5632;0.0977;600;2;74.09
Olive husks;6.8;79;18.7;2.3;48.85;41.1317;6.0574;1.5632;0.0977;600;2.3;66.90
Olive husks;6.8;79;18.7;2.3;48.85;41.1317;6.0574;1.5632;0.0977;900;1.8;176.67
Olive husks;6.8;79;18.7;2.3;48.85;41.1317;6.0574;1.5632;0.0977;900;2;165.06
Olive husks;6.8;79;18.7;2.3;48.85;41.1317;6.0574;1.5632;0.0977;900;2.3;152.07
Olive husks;6.8;79;18.7;2.3;48.85;41.1317;6.0574;1.5632;0.0977;1200;1.8;213.73
Olive husks;6.8;79;18.7;2.3;48.85;41.1317;6.0574;1.5632;0.0977;1200;2;206.51
Olive husks;6.8;79;18.7;2.3;48.85;41.1317;6.0574;1.5632;0.0977;1200;2.3;197.68
Olive husks;6.8;79;18.7;2.3;48.85;41.1317;6.0574;1.5632;0.0977;1500;1.8;249.31
Olive husks;6.8;79;18.7;2.3;48.85;41.1317;6.0574;1.5632;0.0977;1500;2;246.46
Olive husks;6.8;79;18.7;2.3;48.85;41.1317;6.0574;1.5632;0.0977;1500;2.3;241.92
Olive pits;6.1;77;19.9;3.1;51.1632;38.1786;6.3954;1.0659;0.0969;600;1.8;123.05
Olive pits;6.1;77;19.9;3.1;51.1632;38.1786;6.3954;1.0659;0.0969;600;2;117.33
Olive pits;6.1;77;19.9;3.1;51.1632;38.1786;6.3954;1.0659;0.0969;600;2.3;110.86
Olive pits;6.1;77;19.9;3.1;51.1632;38.1786;6.3954;1.0659;0.0969;900;1.8;227.58
Olive pits;6.1;77;19.9;3.1;51.1632;38.1786;6.3954;1.0659;0.0969;900;2;219.00
Olive pits;6.1;77;19.9;3.1;51.1632;38.1786;6.3954;1.0659;0.0969;900;2.3;208.28
Olive pits;6.1;77;19.9;3.1;51.1632;38.1786;6.3954;1.0659;0.0969;1200;1.8;261.88
Olive pits;6.1;77;19.9;3.1;51.1632;38.1786;6.3954;1.0659;0.0969;1200;2;257.98
Olive pits;6.1;77;19.9;3.1;51.1632;38.1786;6.3954;1.0659;0.0969;1200;2.3;251.92
Olive pits;6.1;77;19.9;3.1;51.1632;38.1786;6.3954;1.0659;0.0969;1500;1.8;294.81
Olive pits;6.1;77;19.9;3.1;51.1632;38.1786;6.3954;1.0659;0.0969;1500;2;295.25
Olive pits;6.1;77;19.9;3.1;51.1632;38.1786;6.3954;1.0659;0.0969;1500;2.3;293.72
Palm fibres-husks;36.4;72.8;18.9;8.3;47.2255;36.7717;6.0522;1.3755;0.2751;600;1.8;53.90
Palm fibres-husks;36.4;72.8;18.9;8.3;47.2255;36.7717;6.0522;1.3755;0.2751;600;2;49.31
Palm fibres-husks;36.4;72.8;18.9;8.3;47.2255;36.7717;6.0522;1.3755;0.2751;600;2.3;44.38
Palm fibres-husks;36.4;72.8;18.9;8.3;47.2255;36.7717;6.0522;1.3755;0.2751;900;1.8;119.27
Palm fibres-husks;36.4;72.8;18.9;8.3;47.2255;36.7717;6.0522;1.3755;0.2751;900;2;111.37
Palm fibres-husks;36.4;72.8;18.9;8.3;47.2255;36.7717;6.0522;1.3755;0.2751;900;2.3;102.51
Palm fibres-husks;36.4;72.8;18.9;8.3;47.2255;36.7717;6.0522;1.3755;0.2751;1200;1.8;144.09
Palm fibres-husks;36.4;72.8;18.9;8.3;47.2255;36.7717;6.0522;1.3755;0.2751;1200;2;139.17
Palm fibres-husks;36.4;72.8;18.9;8.3;47.2255;36.7717;6.0522;1.3755;0.2751;1200;2.3;133.15
Palm fibres-husks;36.4;72.8;18.9;8.3;47.2255;36.7717;6.0522;1.3755;0.2751;1500;1.8;167.97
Palm fibres-husks;36.4;72.8;18.9;8.3;47.2255;36.7717;6.0522;1.3755;0.2751;1500;2;166.01
Palm fibres-husks;36.4;72.8;18.9;8.3;47.2255;36.7717;6.0522;1.3755;0.2751;1500;2.3;162.91
Palm kernels;11;77.3;17.5;5.2;48.348;37.446;6.162;2.5596;0.2844;600;1.8;87.84
Palm kernels;11;77.3;17.5;5.2;48.348;37.446;6.162;2.5596;0.2844;600;2;81.62
Palm kernels;11;77.3;17.5;5.2;48.348;37.446;6.162;2.5596;0.2844;600;2.3;74.88
Palm kernels;11;77.3;17.5;5.2;48.348;37.446;6.162;2.5596;0.2844;900;1.8;181.65
Palm kernels;11;77.3;17.5;5.2;48.348;37.446;6.162;2.5596;0.2844;900;2;171.23
Palm kernels;11;77.3;17.5;5.2;48.348;37.446;6.162;2.5596;0.2844;900;2.3;159.30
Palm kernels;11;77.3;17.5;5.2;48.348;37.446;6.162;2.5596;0.2844;1200;1.8;216.04
Palm kernels;11;77.3;17.5;5.2;48.348;37.446;6.162;2.5596;0.2844;1200;2;209.91
Palm kernels;11;77.3;17.5;5.2;48.348;37.446;6.162;2.5596;0.2844;1200;2.3;202.09
Palm kernels;11;77.3;17.5;5.2;48.348;37.446;6.162;2.5596;0.2844;1500;1.8;249.07
Palm kernels;11;77.3;17.5;5.2;48.348;37.446;6.162;2.5596;0.2844;1500;2;247.13
Palm kernels;11;77.3;17.5;5.2;48.348;37.446;6.162;2.5596;0.2844;1500;2.3;243.49
Rice husks;10.6;62.8;19.2;18;40.426;35.834;5.002;0.656;0.082;600;1.8;0.00
Rice husks;10.6;62.8;19.2;18;40.426;35.834;5.002;0.656;0.082;600;2;0.00
Rice husks;10.6;62.8;19.2;18;40.426;35.834;5.002;0.656;0.082;600;2.3;0.00
Rice husks;10.6;62.8;19.2;18;40.426;35.834;5.002;0.656;0.082;900;1.8;47.30
Rice husks;10.6;62.8;19.2;18;40.426;35.834;5.002;0.656;0.082;900;2;32.71
Rice husks;10.6;62.8;19.2;18;40.426;35.834;5.002;0.656;0.082;900;2.3;17.50
Rice husks;10.6;62.8;19.2;18;40.426;35.834;5.002;0.656;0.082;1200;1.8;84.18
Rice husks;10.6;62.8;19.2;18;40.426;35.834;5.002;0.656;0.082;1200;2;73.04
Rice husks;10.6;62.8;19.2;18;40.426;35.834;5.002;0.656;0.082;1200;2.3;61.23
Rice husks;10.6;62.8;19.2;18;40.426;35.834;5.002;0.656;0.082;1500;1.8;120.47
